    12.938 W | Profile "e95aaec77c7f3e1f8a7df3096493db1d" is now in use.
    12.940 D | "1.21.5" : downloading libraries
    12.940 D | [launcher.instance.profile]: "1.21.5" | Applying "org.lwjgl3" GOOD
    12.941 D | [launcher.instance.profile]: "1.21.5" | Applying "net.minecraft" GOOD
    12.941 D | [launcher.instance.profile]: "1.21.5" | Applying "net.fabricmc.intermediary" GOOD
    12.941 D | [launcher.instance.profile]: "1.21.5" | Applying "net.fabricmc.fabric-loader" GOOD
    13.034 D | Asset index SHA1: "3cd0a438b150f32a5cd8170ac19c56cb8736cfaa"
    13.034 D | "1.21.5" : Starting asset index download
    13.041 W | setGeometry: Unable to set geometry 480x138+720+467 (frame: 496x177+712+436) on QWidgetWindow/"ProgressDialogWindow" on "\\.\DISPLAY1". Resulting geometry: 480x204+720+467 (frame: 496x243+712+436) margins: 8, 31, 8, 8 minimum size: 480x138 MINMAXINFO(maxSize=POINT(x=0, y=0), maxpos=POINT(x=0, y=0), maxtrack=POINT(x=0, y=0), mintrack=POINT(x=496, y=177)))
    13.175 D | "1.21.5" : Finished asset index download
    13.483 D | reconstructAssets "assets" "assets/indexes" "assets/objects" "assets/virtual" "assets/virtual/24"
